26	6	1	2
42	1	1	0
39	6	2	0
34	4	2	0
35	3	1	1
36	4	2	1
23	1	0	0
32	2	0	0
21	1	0	1
28	2	0	0
29	2	1	0
37	4	2	1
31	1	1	0
29	3	2	0
31	2	1	1
27	2	2	0
30	5	2	1
26	1	0	1
25	3	2	1
44	1	0	1
40	1	0	1
35	2	2	0
28	2	0	2
36	1	0	1
27	2	1	1
40	2	0	2
38	2	0	2
34	3	0	2
28	4	1	2
30	4	2	0
32	1	0	1
34	2	1	0
42	1	1	0
32	2	0	2
39	1	1	0
35	2	0	2
36	1	0	1
34	3	1	2
30	3	0	0
28	1	0	1
39	3	0	2
35	1	0	0
41	1	0	0
37	2	1	1
30	1	0	0
37	1	1	0
28	2	0	2
27	4	2	0
26	2	2	0
38	3	0	2
24	3	1	2
36	5	1	2
27	3	1	1
28	1	0	1
29	2	0	2
36	2	0	2
28	2	1	0
28	2	0	2
28	1	0	1
27	2	0	2
35	2	0	2
25	1	0	1
34	1	0	1
31	2	0	2
26	2	1	0
32	1	0	1
21	1	0	1
28	3	1	2
37	3	0	2
25	1	1	0
32	1	1	0
25	1	0	1
31	1	0	1
38	6	0	2
26	2	0	2
31	1	0	1
31	2	0	1
25	1	1	0
31	1	0	1
34	1	0	1
35	2	2	0
29	1	0	1
23	1	0	1
26	6	2	0
42	1	0	0
39	6	2	0
34	4	0	1
35	3	2	0
36	4	1	1
23	1	0	0
32	2	2	0
21	1	0	1
28	2	0	1
29	2	0	0
37	4	1	1
31	1	0	0
29	3	0	1
31	2	1	0
27	2	1	0
30	5	0	2
26	1	0	0
25	3	0	1
44	1	0	0
40	1	0	0
35	2	0	0
28	2	0	0
36	1	0	0
27	2	0	1
40	2	0	0
38	2	0	0
34	3	0	0
28	4	0	2
30	4	1	1
32	1	0	0
34	2	1	0
42	1	1	0
32	2	0	0
39	1	0	0
35	2	0	0
36	1	0	0
34	3	2	0
30	3	0	2
28	1	1	0
39	3	1	0
35	1	0	0
41	1	0	0
37	2	0	0
30	1	1	0
37	1	0	0
28	2	1	0
27	4	2	1
26	2	1	0
38	3	1	0
24	3	2	1
36	5	1	1
27	3	1	1
28	1	1	0
29	2	1	0
36	2	1	0
28	2	1	1
28	2	2	0
28	1	1	0
27	2	1	0
35	2	2	0
25	1	1	0
34	1	0	0
31	2	0	0
26	2	0	1
32	1	0	0
21	1	0	1
28	3	2	0
37	3	1	1
25	1	0	0
32	1	1	0
25	1	0	0
31	1	0	1
26	2	0	2
31	1	0	0
31	2	2	0
25	1	0	0
31	1	0	0
34	1	0	0
35	2	0	0
29	1	0	1
23	1	0	1
26	6	2	0
42	1	0	0
39	6	2	0
34	4	0	2
35	3	0	0
36	4	0	2
23	1	0	0
32	2	0	1
21	1	1	0
28	2	0	1
29	2	0	1
37	4	0	1
31	1	0	0
29	3	0	2
31	2	1	0
27	2	0	0
30	5	1	2
26	1	1	0
25	3	1	1
44	1	1	0
40	1	0	0
35	2	0	0
28	2	2	0
36	1	0	1
27	2	0	2
40	2	0	0
38	2	0	0
34	3	0	0
28	4	2	1
30	4	1	1
32	1	0	0
34	2	0	0
42	1	0	0
32	2	2	0
39	1	0	0
35	2	0	0
36	1	0	0
34	3	2	0
30	3	0	1
28	1	0	0
39	3	0	0
35	1	0	0
41	1	0	0
37	2	0	0
30	1	0	0
37	1	0	1
28	2	1	0
27	4	2	0
26	2	1	0
38	3	1	0
24	3	2	0
36	5	2	1
27	3	2	0
28	1	0	1
29	2	1	1
36	2	0	1
28	2	2	0
28	2	1	0
28	1	0	0
27	2	1	0
35	2	1	0
25	1	1	0
34	1	0	0
31	2	1	0
26	2	0	2
32	1	1	0
21	1	0	0
28	3	2	0
37	3	0	2
25	1	1	0
32	1	0	0
25	1	1	0
31	1	0	0
38	6	0	2
26	2	1	1
31	1	1	0
31	2	0	1
25	1	0	1
31	1	0	1
34	1	0	0
35	2	2	0
29	1	0	1
23	1	0	1
